Sourcefile	20130121 072818 Tomas.qmp
Exporttime	1/21/2013 11:54:06 AM

Start Time	1/21/2013 7:29:22.412 AM
End Time  	1/21/2013 11:53:28.787 AM

		32			40			44			14			26	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
1/21/2013 7:29:22 AM	0.000	1.350171e-008	1/21/2013 7:29:22 AM	0.543	9.062092e-010	1/21/2013 7:29:23 AM	1.085	2.912473e-009	1/21/2013 7:29:24 AM	1.628	1.337995e-009	1/21/2013 7:29:24 AM	2.193	2.259141e-010	
1/21/2013 7:29:25 AM	2.732	1.387004e-008	1/21/2013 7:29:25 AM	3.270	9.281499e-010	1/21/2013 7:29:26 AM	3.808	2.967322e-009	1/21/2013 7:29:26 AM	4.345	1.312521e-009	1/21/2013 7:29:27 AM	4.884	2.243878e-010	
1/21/2013 7:29:27 AM	5.422	1.379749e-008	1/21/2013 7:29:28 AM	5.960	9.254040e-010	1/21/2013 7:29:28 AM	6.497	2.970088e-009	1/21/2013 7:29:29 AM	7.036	1.280565e-009	1/21/2013 7:29:29 AM	7.573	2.224169e-010	
1/21/2013 7:29:30 AM	8.111	1.372364e-008	1/21/2013 7:29:31 AM	8.649	9.265901e-010	1/21/2013 7:29:31 AM	9.187	2.975697e-009	1/21/2013 7:29:32 AM	9.724	1.299049e-009	1/21/2013 7:29:32 AM	10.263	2.182118e-010	
1/21/2013 7:29:33 AM	10.803	1.431829e-008	1/21/2013 7:29:33 AM	11.342	9.589002e-010	1/21/2013 7:29:34 AM	11.881	2.999569e-009	1/21/2013 7:29:34 AM	12.418	1.315884e-009	1/21/2013 7:29:35 AM	12.957	2.166665e-010	
1/21/2013 7:29:35 AM	13.495	1.392912e-008	1/21/2013 7:29:36 AM	14.035	9.349072e-010	1/21/2013 7:29:36 AM	14.573	2.994669e-009	1/21/2013 7:29:37 AM	15.112	1.303217e-009	1/21/2013 7:29:38 AM	15.651	2.142540e-010	
1/21/2013 7:29:38 AM	16.189	1.388400e-008	1/21/2013 7:29:39 AM	16.729	9.360481e-010	1/21/2013 7:29:39 AM	17.267	2.995360e-009	1/21/2013 7:29:40 AM	17.806	1.293247e-009	1/21/2013 7:29:40 AM	18.344	2.121701e-010	
1/21/2013 7:29:41 AM	18.884	1.400332e-008	1/21/2013 7:29:41 AM	19.422	9.417570e-010	1/21/2013 7:29:42 AM	19.961	2.998958e-009	1/21/2013 7:29:42 AM	20.500	1.280425e-009	1/21/2013 7:29:43 AM	21.039	2.096961e-010	
1/21/2013 7:29:43 AM	21.579	1.402219e-008	1/21/2013 7:29:44 AM	22.118	9.397456e-010	1/21/2013 7:29:45 AM	22.658	3.002681e-009	1/21/2013 7:29:45 AM	23.195	1.286906e-009	1/21/2013 7:29:46 AM	23.735	2.075756e-010	
