Sourcefile	20130524 151844 Tomas CO2+ethylene_faraday.qmp													
Exporttime	24.5.2013 17:40:45													
														
Start Time	24.5.2013 15:18:55,606													
End Time  	24.5.2013 17:40:45,656													
														
		14			26			32			40			44
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
24.5.2013 15:18:55	0	1,625864E-011	24.5.2013 15:18:56	0,589	7,682473E-013	24.5.2013 15:18:56	1,154	1,583311E-010	24.5.2013 15:18:57	1,722	1,454115E-011	24.5.2013 15:18:57	2,311	5,19981E-012
24.5.2013 15:18:58	2,847	1,647545E-011	24.5.2013 15:18:58	3,383	7,268933E-013	24.5.2013 15:18:59	3,921	1,588869E-010	24.5.2013 15:19:00	4,457	1,455972E-011	24.5.2013 15:19:00	4,993	5,152759E-012
24.5.2013 15:19:01	5,529	1,651165E-011	24.5.2013 15:19:01	6,067	7,185544E-013	24.5.2013 15:19:02	6,603	1,590724E-010	24.5.2013 15:19:02	7,138	1,460253E-011	24.5.2013 15:19:03	7,677	5,163933E-012
24.5.2013 15:19:03	8,213	1,648757E-011	24.5.2013 15:19:04	8,752	7,342541E-013	24.5.2013 15:19:04	9,288	1,587508E-010	24.5.2013 15:19:05	9,824	1,461149E-011	24.5.2013 15:19:05	10,361	5,182996E-012
24.5.2013 15:19:06	10,896	1,655729E-011	24.5.2013 15:19:07	11,433	7,509863E-013	24.5.2013 15:19:07	11,971	1,592003E-010	24.5.2013 15:19:08	12,508	1,465179E-011	24.5.2013 15:19:08	13,044	5,197768E-012
24.5.2013 15:19:09	13,581	1,657825E-011	24.5.2013 15:19:09	14,119	7,578642E-013	24.5.2013 15:19:10	14,656	1,59479E-010	24.5.2013 15:19:10	15,192	1,463518E-011	24.5.2013 15:19:11	15,73	5,198847E-012
24.5.2013 15:19:11	16,266	1,669357E-011	24.5.2013 15:19:12	16,804	7,660498E-013	24.5.2013 15:19:12	17,34	1,591546E-010	24.5.2013 15:19:13	17,876	1,464773E-011	24.5.2013 15:19:14	18,412	5,207813E-012
24.5.2013 15:19:14	18,949	1,658665E-011	24.5.2013 15:19:15	19,487	7,5982E-013	24.5.2013 15:19:15	20,023	1,588475E-010	24.5.2013 15:19:16	20,561	1,466836E-011	24.5.2013 15:19:16	21,098	5,216759E-012
24.5.2013 15:19:17	21,635	1,656566E-011	24.5.2013 15:19:17	22,174	7,556216E-013	24.5.2013 15:19:18	22,71	1,594808E-010	24.5.2013 15:19:18	23,247	1,463555E-011	24.5.2013 15:19:19	23,783	5,216478E-012
24.5.2013 15:19:19	24,319	1,658011E-011	24.5.2013 15:19:20	24,856	7,630785E-013	24.5.2013 15:19:20	25,393	1,589309E-010	24.5.2013 15:19:21	25,93	1,467345E-011	24.5.2013 15:19:22	26,467	5,218004E-012
24.5.2013 15:19:22	27,003	1,657984E-011	24.5.2013 15:19:23	27,543	7,595267E-013	24.5.2013 15:19:23	28,08	1,59432E-010	24.5.2013 15:19:24	28,618	1,467321E-011	24.5.2013 15:19:24	29,154	5,222512E-012
24.5.2013 15:19:25	29,691	1,654416E-011	24.5.2013 15:19:25	30,229	7,637369E-013	24.5.2013 15:19:26	30,767	1,593036E-010	24.5.2013 15:19:26	31,304	1,467329E-011	24.5.2013 15:19:27	31,84	5,222832E-012
24.5.2013 15:19:27	32,377	1,652198E-011	24.5.2013 15:19:28	32,915	7,576276E-013	24.5.2013 15:19:29	33,453	1,588091E-010	24.5.2013 15:19:29	33,99	1,463255E-011	24.5.2013 15:19:30	34,527	5,227679E-012
24.5.2013 15:19:30	35,062	1,657395E-011	24.5.2013 15:19:31	35,6	7,569146E-013	24.5.2013 15:19:31	36,134	1,592581E-010	24.5.2013 15:19:32	36,671	1,464437E-011	24.5.2013 15:19:32	37,208	5,228035E-012
24.5.2013 15:19:33	37,744	1,658659E-011	24.5.2013 15:19:33	38,283	7,574534E-013	24.5.2013 15:19:34	38,819	1,594991E-010	24.5.2013 15:19:34	39,357	1,468252E-011	24.5.2013 15:19:35	39,893	5,22909E-012
