Sourcefile	20130531 095358 Tomas CO2+ethylene_faraday.qmp
Exporttime	31.5.2013 12:04:44

Start Time	31.5.2013 9:54:16,396
End Time  	31.5.2013 12:04:43,672

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
31.5.2013 9:54:16	0,000	1,601086e-011	31.5.2013 9:54:16	0,591	1,061683e-012	31.5.2013 9:54:17	1,160	1,506419e-010	31.5.2013 9:54:18	1,731	1,412101e-011	31.5.2013 9:54:18	2,321	4,806572e-012	
31.5.2013 9:54:19	2,861	1,633790e-011	31.5.2013 9:54:19	3,401	1,010959e-012	31.5.2013 9:54:20	3,939	1,516567e-010	31.5.2013 9:54:20	4,476	1,416604e-011	31.5.2013 9:54:21	5,015	4,768062e-012	
31.5.2013 9:54:21	5,553	1,630128e-011	31.5.2013 9:54:22	6,092	1,002522e-012	31.5.2013 9:54:23	6,629	1,518329e-010	31.5.2013 9:54:23	7,165	1,417162e-011	31.5.2013 9:54:24	7,702	4,769326e-012	
31.5.2013 9:54:24	8,239	1,643957e-011	31.5.2013 9:54:25	8,776	1,007009e-012	31.5.2013 9:54:25	9,312	1,512465e-010	31.5.2013 9:54:26	9,848	1,410905e-011	31.5.2013 9:54:26	10,385	4,783989e-012	
31.5.2013 9:54:27	10,922	1,639538e-011	31.5.2013 9:54:27	11,460	1,019264e-012	31.5.2013 9:54:28	11,997	1,518962e-010	31.5.2013 9:54:28	12,533	1,418898e-011	31.5.2013 9:54:29	13,070	4,784996e-012	
31.5.2013 9:54:30	13,606	1,641766e-011	31.5.2013 9:54:30	14,144	1,023683e-012	31.5.2013 9:54:31	14,682	1,520953e-010	31.5.2013 9:54:31	15,221	1,415105e-011	31.5.2013 9:54:32	15,761	4,799620e-012	
31.5.2013 9:54:32	16,298	1,642607e-011	31.5.2013 9:54:33	16,839	1,029911e-012	31.5.2013 9:54:33	17,378	1,524198e-010	31.5.2013 9:54:34	17,918	1,420642e-011	31.5.2013 9:54:34	18,456	4,804198e-012	
31.5.2013 9:54:35	18,995	1,642689e-011	31.5.2013 9:54:35	19,536	1,031535e-012	31.5.2013 9:54:36	20,075	1,521224e-010	31.5.2013 9:54:37	20,617	1,420382e-011	31.5.2013 9:54:37	21,155	4,812470e-012	
31.5.2013 9:54:38	21,696	1,637237e-011	31.5.2013 9:54:38	22,236	1,034348e-012	31.5.2013 9:54:39	22,775	1,520366e-010	31.5.2013 9:54:39	23,313	1,418932e-011	31.5.2013 9:54:40	23,854	4,815149e-012	
31.5.2013 9:54:40	24,392	1,649847e-011	31.5.2013 9:54:41	24,933	1,032616e-012	31.5.2013 9:54:41	25,473	1,516439e-010	31.5.2013 9:54:42	26,014	1,419103e-011	31.5.2013 9:54:42	26,556	4,810873e-012	
31.5.2013 9:54:43	27,096	1,644549e-011	31.5.2013 9:54:44	27,636	1,029912e-012	31.5.2013 9:54:44	28,174	1,525651e-010	31.5.2013 9:54:45	28,714	1,413642e-011	31.5.2013 9:54:45	29,253	4,809124e-012	
31.5.2013 9:54:46	29,794	1,642336e-011	31.5.2013 9:54:46	30,332	1,031127e-012	31.5.2013 9:54:47	30,874	1,522433e-010	31.5.2013 9:54:47	31,412	1,422409e-011	31.5.2013 9:54:48	31,952	4,810225e-012	
31.5.2013 9:54:48	32,490	1,639364e-011	31.5.2013 9:54:49	33,033	1,027488e-012	31.5.2013 9:54:49	33,574	1,520061e-010	31.5.2013 9:54:50	34,110	1,419427e-011	31.5.2013 9:54:51	34,647	4,812951e-012	
31.5.2013 9:54:51	35,184	1,644561e-011	31.5.2013 9:54:52	35,722	1,033103e-012	31.5.2013 9:54:52	36,259	1,519784e-010	31.5.2013 9:54:53	36,797	1,417318e-011	31.5.2013 9:54:53	37,334	4,813465e-012	
31.5.2013 9:54:54	37,871	1,645938e-011	31.5.2013 9:54:54	38,407	1,029938e-012	31.5.2013 9:54:55	38,944	1,514883e-010	31.5.2013 9:54:55	39,481	1,412874e-011	31.5.2013 9:54:56	40,017	4,809359e-012	
31.5.2013 9:54:56	40,555	1,631754e-011	31.5.2013 9:54:57	41,092	1,029193e-012	31.5.2013 9:54:58	41,629	1,518133e-010	31.5.2013 9:54:58	42,167	1,416310e-011	31.5.2013 9:54:59	42,703	4,809613e-012	
31.5.2013 9:54:59	43,239	1,641109e-011	31.5.2013 9:55:00	43,777	1,028627e-012	31.5.2013 9:55:00	44,313	1,519912e-010	31.5.2013 9:55:01	44,850	1,419726e-011	31.5.2013 9:55:01	45,385	4,810100e-012	
31.5.2013 9:55:02	45,921	1,639330e-011	31.5.2013 9:55:02	46,458	1,028243e-012	31.5.2013 9:55:03	46,994	1,518939e-010	31.5.2013 9:55:03	47,532	1,418957e-011	31.5.2013 9:55:04	48,069	4,813833e-012	
