Sourcefile	20130605 104853 Tomas CO2+ethylene_faraday.qmp
Exporttime	5.6.2013 12:58:03

Start Time	5.6.2013 10:49:07,853
End Time  	5.6.2013 12:57:09,303

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
5.6.2013 10:49:07	0,000	1,655827e-011	5.6.2013 10:49:08	0,588	1,572603e-012	5.6.2013 10:49:09	1,156	1,484804e-010	5.6.2013 10:49:09	1,723	1,378205e-011	5.6.2013 10:49:10	2,313	4,217546e-012	
5.6.2013 10:49:10	2,851	1,676649e-011	5.6.2013 10:49:11	3,390	1,266215e-012	5.6.2013 10:49:11	3,930	1,496564e-010	5.6.2013 10:49:12	4,467	1,385515e-011	5.6.2013 10:49:12	5,005	4,198060e-012	
5.6.2013 10:49:13	5,542	1,678803e-011	5.6.2013 10:49:13	6,082	1,126577e-012	5.6.2013 10:49:14	6,620	1,505192e-010	5.6.2013 10:49:15	7,159	1,392134e-011	5.6.2013 10:49:15	7,697	4,217589e-012	
5.6.2013 10:49:16	8,236	1,677860e-011	5.6.2013 10:49:16	8,775	1,031154e-012	5.6.2013 10:49:17	9,314	1,508418e-010	5.6.2013 10:49:17	9,852	1,397629e-011	5.6.2013 10:49:18	10,390	4,242983e-012	
5.6.2013 10:49:18	10,928	1,679218e-011	5.6.2013 10:49:19	11,467	9,590112e-013	5.6.2013 10:49:19	12,006	1,511946e-010	5.6.2013 10:49:20	12,542	1,400845e-011	5.6.2013 10:49:20	13,082	4,263177e-012	
5.6.2013 10:49:21	13,620	1,678998e-011	5.6.2013 10:49:22	14,160	9,039979e-013	5.6.2013 10:49:22	14,699	1,513200e-010	5.6.2013 10:49:23	15,238	1,405518e-011	5.6.2013 10:49:23	15,778	4,280535e-012	
5.6.2013 10:49:24	16,315	1,681296e-011	5.6.2013 10:49:24	16,855	8,607479e-013	5.6.2013 10:49:25	17,394	1,516088e-010	5.6.2013 10:49:25	17,935	1,404609e-011	5.6.2013 10:49:26	18,472	4,286833e-012	
5.6.2013 10:49:26	19,013	1,678880e-011	5.6.2013 10:49:27	19,552	8,261333e-013	5.6.2013 10:49:27	20,091	1,516390e-010	5.6.2013 10:49:28	20,629	1,406156e-011	5.6.2013 10:49:29	21,168	4,297806e-012	
5.6.2013 10:49:29	21,708	1,679813e-011	5.6.2013 10:49:30	22,247	7,999330e-013	5.6.2013 10:49:30	22,787	1,517883e-010	5.6.2013 10:49:31	23,325	1,407353e-011	5.6.2013 10:49:31	23,865	4,304640e-012	
5.6.2013 10:49:32	24,403	1,679606e-011	5.6.2013 10:49:32	24,943	7,762738e-013	5.6.2013 10:49:33	25,481	1,517333e-010	5.6.2013 10:49:33	26,019	1,408577e-011	5.6.2013 10:49:34	26,557	4,314124e-012	
5.6.2013 10:49:34	27,096	1,680286e-011	5.6.2013 10:49:35	27,637	7,635893e-013	5.6.2013 10:49:36	28,175	1,518480e-010	5.6.2013 10:49:36	28,715	1,407395e-011	5.6.2013 10:49:37	29,255	4,313206e-012	
5.6.2013 10:49:37	29,793	1,678332e-011	5.6.2013 10:49:38	30,333	7,492709e-013	5.6.2013 10:49:38	30,872	1,518011e-010	5.6.2013 10:49:39	31,410	1,408049e-011	5.6.2013 10:49:39	31,949	4,321328e-012	
5.6.2013 10:49:40	32,486	1,680156e-011	5.6.2013 10:49:40	33,028	7,402365e-013	5.6.2013 10:49:41	33,566	1,519801e-010	5.6.2013 10:49:41	34,104	1,409785e-011	5.6.2013 10:49:42	34,644	4,323563e-012	
5.6.2013 10:49:43	35,182	1,678874e-011	5.6.2013 10:49:43	35,722	7,352118e-013	5.6.2013 10:49:44	36,258	1,519176e-010	5.6.2013 10:49:44	36,798	1,409865e-011	5.6.2013 10:49:45	37,333	4,328037e-012	
5.6.2013 10:49:45	37,871	1,679005e-011	5.6.2013 10:49:46	38,410	7,322116e-013	5.6.2013 10:49:46	38,947	1,519381e-010	5.6.2013 10:49:47	39,484	1,409095e-011	5.6.2013 10:49:47	40,021	4,625069e-012	
5.6.2013 10:49:48	40,561	1,667697e-011	5.6.2013 10:49:48	41,101	7,274257e-013	5.6.2013 10:49:49	41,640	1,516992e-010	5.6.2013 10:49:50	42,178	1,406342e-011	5.6.2013 10:49:50	42,717	4,338546e-012	
5.6.2013 10:49:51	43,254	1,676191e-011	5.6.2013 10:49:51	43,794	7,218016e-013	5.6.2013 10:49:52	44,332	1,519183e-010	5.6.2013 10:49:52	44,870	1,408481e-011	5.6.2013 10:49:53	45,407	4,340258e-012	
5.6.2013 10:49:53	45,943	1,677246e-011	5.6.2013 10:49:54	46,483	7,212173e-013	5.6.2013 10:49:54	47,021	1,518175e-010	5.6.2013 10:49:55	47,558	1,408405e-011	5.6.2013 10:49:55	48,095	4,344575e-012	
5.6.2013 10:49:56	48,634	1,678346e-011	5.6.2013 10:49:57	49,173	7,239422e-013	5.6.2013 10:49:57	49,712	1,518315e-010	5.6.2013 10:49:58	50,249	1,409023e-011	5.6.2013 10:49:58	50,789	4,345902e-012	
5.6.2013 10:49:59	51,329	1,679649e-011	5.6.2013 10:49:59	51,869	7,212064e-013	5.6.2013 10:50:00	52,409	1,518792e-010	5.6.2013 10:50:00	52,945	1,408729e-011	5.6.2013 10:50:01	53,483	4,346227e-012	
5.6.2013 10:50:01	54,021	1,677813e-011	5.6.2013 10:50:02	54,561	7,179432e-013	5.6.2013 10:50:02	55,098	1,519711e-010	5.6.2013 10:50:03	55,636	1,409727e-011	5.6.2013 10:50:04	56,173	4,350735e-012	
5.6.2013 10:50:04	56,711	1,679157e-011	5.6.2013 10:50:05	57,250	7,209220e-013	5.6.2013 10:50:05	57,788	1,518123e-010	5.6.2013 10:50:06	58,324	1,407969e-011	5.6.2013 10:50:06	58,861	4,361157e-012	
5.6.2013 10:50:07	59,400	1,678781e-011	5.6.2013 10:50:07	59,938	7,227542e-013	5.6.2013 10:50:08	60,477	1,518935e-010	5.6.2013 10:50:08	61,014	1,408887e-011	5.6.2013 10:50:09	61,552	4,351977e-012	
5.6.2013 10:50:09	62,090	1,680238e-011	5.6.2013 10:50:10	62,629	7,188998e-013	5.6.2013 10:50:11	63,167	1,518756e-010	5.6.2013 10:50:11	63,706	1,408097e-011	5.6.2013 10:50:12	64,244	4,363451e-012	
5.6.2013 10:50:12	64,783	1,677052e-011	5.6.2013 10:50:13	65,323	7,221693e-013	5.6.2013 10:50:13	65,860	1,519653e-010	5.6.2013 10:50:14	66,398	1,409604e-011	5.6.2013 10:50:14	66,936	4,361188e-012	
5.6.2013 10:50:15	67,475	1,678547e-011	5.6.2013 10:50:15	68,013	7,200501e-013	5.6.2013 10:50:16	68,553	1,518167e-010	5.6.2013 10:50:16	69,091	1,408085e-011	5.6.2013 10:50:17	69,632	4,363539e-012	
5.6.2013 10:50:18	70,171	1,677722e-011	5.6.2013 10:50:18	70,712	7,207472e-013	5.6.2013 10:50:19	71,251	1,518194e-010	5.6.2013 10:50:19	71,790	1,406806e-011	5.6.2013 10:50:20	72,329	4,366571e-012	
5.6.2013 10:50:20	72,866	1,679230e-011	5.6.2013 10:50:21	73,405	7,218954e-013	5.6.2013 10:50:21	73,944	1,517898e-010	5.6.2013 10:50:22	74,482	1,408467e-011	5.6.2013 10:50:22	75,019	4,365779e-012	
5.6.2013 10:50:23	75,558	1,677335e-011	5.6.2013 10:50:23	76,097	7,242687e-013	5.6.2013 10:50:24	76,636	1,518978e-010	5.6.2013 10:50:25	77,173	1,409236e-011	5.6.2013 10:50:25	77,711	4,371314e-012	
5.6.2013 10:50:26	78,250	1,676773e-011	5.6.2013 10:50:26	78,787	7,200822e-013	5.6.2013 10:50:27	79,327	1,517779e-010	5.6.2013 10:50:27	79,863	1,408396e-011	5.6.2013 10:50:28	80,402	4,371705e-012	
5.6.2013 10:50:28	80,940	1,677530e-011	5.6.2013 10:50:29	81,480	7,249891e-013	5.6.2013 10:50:29	82,017	1,518002e-010	5.6.2013 10:50:30	82,555	1,408757e-011	5.6.2013 10:50:30	83,092	4,378231e-012	
5.6.2013 10:50:31	83,630	1,678010e-011	5.6.2013 10:50:32	84,169	7,223789e-013	5.6.2013 10:50:32	84,706	1,517636e-010	5.6.2013 10:50:33	85,243	1,407688e-011	5.6.2013 10:50:33	85,781	4,375783e-012	
5.6.2013 10:50:34	86,320	1,678095e-011	5.6.2013 10:50:34	86,860	7,252628e-013	5.6.2013 10:50:35	87,397	1,518780e-010	5.6.2013 10:50:35	87,935	1,409232e-011	5.6.2013 10:50:36	88,473	4,378485e-012	
5.6.2013 10:50:36	89,011	1,677613e-011	5.6.2013 10:50:37	89,552	7,226719e-013	5.6.2013 10:50:37	90,090	1,517803e-010	5.6.2013 10:50:38	90,629	1,408213e-011	5.6.2013 10:50:39	91,168	4,383794e-012	
5.6.2013 10:50:39	91,705	1,679459e-011	5.6.2013 10:50:40	92,244	7,259285e-013	5.6.2013 10:50:40	92,783	1,519277e-010	5.6.2013 10:50:41	93,321	1,407411e-011	5.6.2013 10:50:41	93,860	4,382202e-012	
5.6.2013 10:50:42	94,399	1,680414e-011	5.6.2013 10:50:42	94,939	7,249214e-013	5.6.2013 10:50:43	95,478	1,517782e-010	5.6.2013 10:50:43	96,017	1,406428e-011	5.6.2013 10:50:44	96,557	4,380736e-012	
5.6.2013 10:50:44	97,097	1,679165e-011	5.6.2013 10:50:45	97,636	7,221623e-013	5.6.2013 10:50:46	98,175	1,519360e-010	5.6.2013 10:50:46	98,712	1,424649e-011	5.6.2013 10:50:47	99,251	4,520106e-012	
5.6.2013 10:50:47	99,788	1,669344e-011	5.6.2013 10:50:48	100,328	7,260411e-013	5.6.2013 10:50:48	100,867	1,518237e-010	5.6.2013 10:50:49	101,405	1,407490e-011	5.6.2013 10:50:49	101,944	4,389732e-012	
5.6.2013 10:50:50	102,483	1,676197e-011	5.6.2013 10:50:50	103,022	7,187226e-013	5.6.2013 10:50:51	103,561	1,518832e-010	5.6.2013 10:50:51	104,100	1,409578e-011	5.6.2013 10:50:52	104,637	4,389871e-012	
5.6.2013 10:50:53	105,175	1,678659e-011	5.6.2013 10:50:53	105,714	7,194515e-013	5.6.2013 10:50:54	106,254	1,518249e-010	5.6.2013 10:50:54	106,791	1,409269e-011	5.6.2013 10:50:55	107,332	4,386515e-012	
5.6.2013 10:50:55	107,871	1,680371e-011	5.6.2013 10:50:56	108,411	7,226505e-013	5.6.2013 10:50:56	108,949	1,516854e-010	5.6.2013 10:50:57	109,486	1,408281e-011	5.6.2013 10:50:57	110,025	4,382126e-012	
5.6.2013 10:50:58	110,562	1,680866e-011	5.6.2013 10:50:58	111,103	7,457671e-013	5.6.2013 10:50:59	111,643	1,511986e-010	5.6.2013 10:51:00	112,183	1,404142e-011	5.6.2013 10:51:00	112,722	4,377803e-012	
5.6.2013 10:51:01	113,259	1,683214e-011	5.6.2013 10:51:01	113,797	7,932373e-013	5.6.2013 10:51:02	114,335	1,504911e-010	5.6.2013 10:51:02	114,873	1,397101e-011	5.6.2013 10:51:03	115,413	4,367483e-012	
5.6.2013 10:51:03	115,951	1,685029e-011	5.6.2013 10:51:04	116,490	8,730978e-013	5.6.2013 10:51:04	117,028	1,494333e-010	5.6.2013 10:51:05	117,566	1,387999e-011	5.6.2013 10:51:05	118,104	4,356196e-012	
5.6.2013 10:51:06	118,642	1,689089e-011	5.6.2013 10:51:07	119,183	9,875727e-013	5.6.2013 10:51:07	119,721	1,484670e-010	5.6.2013 10:51:08	120,259	1,380359e-011	5.6.2013 10:51:08	120,795	4,336174e-012	
5.6.2013 10:51:09	121,334	1,693045e-011	5.6.2013 10:51:09	121,872	1,114209e-012	5.6.2013 10:51:10	122,412	1,472943e-010	5.6.2013 10:51:10	122,952	1,370920e-011	5.6.2013 10:51:11	123,491	4,319733e-012	
5.6.2013 10:51:11	124,031	1,698360e-011	5.6.2013 10:51:12	124,570	1,252923e-012	5.6.2013 10:51:12	125,110	1,463106e-010	5.6.2013 10:51:13	125,649	1,362718e-011	5.6.2013 10:51:14	126,190	4,299395e-012	
5.6.2013 10:51:14	126,727	1,701229e-011	5.6.2013 10:51:15	127,266	1,467901e-012	5.6.2013 10:51:15	127,806	1,453672e-010	5.6.2013 10:51:16	128,343	1,354071e-011	5.6.2013 10:51:16	128,883	4,286052e-012	
5.6.2013 10:51:17	129,421	1,705262e-011	5.6.2013 10:51:17	129,962	1,590933e-012	5.6.2013 10:51:18	130,501	1,448147e-010	5.6.2013 10:51:18	131,040	1,347558e-011	5.6.2013 10:51:19	131,580	4,275808e-012	
