Sourcefile	20130606 193350 Tomas CO2+ethylene_faraday.qmp
Exporttime	6.6.2013 23:15:42

Start Time	6.6.2013 19:34:51,086
End Time  	6.6.2013 23:14:37,662

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
6.6.2013 19:34:51	0,000	2,490190e-011	6.6.2013 19:34:51	0,590	1,158652e-012	6.6.2013 19:34:52	1,157	2,201608e-010	6.6.2013 19:34:52	1,727	1,842661e-011	6.6.2013 19:34:53	2,317	5,978749e-012	
6.6.2013 19:34:53	2,856	2,479489e-011	6.6.2013 19:34:54	3,394	1,115497e-012	6.6.2013 19:34:55	3,936	2,197293e-010	6.6.2013 19:34:55	4,474	1,845690e-011	6.6.2013 19:34:56	5,015	5,905255e-012	
6.6.2013 19:34:56	5,551	2,471432e-011	6.6.2013 19:34:57	6,091	1,101534e-012	6.6.2013 19:34:57	6,630	2,191333e-010	6.6.2013 19:34:58	7,169	1,838398e-011	6.6.2013 19:34:58	7,709	5,908748e-012	
6.6.2013 19:34:59	8,247	2,432295e-011	6.6.2013 19:34:59	8,787	1,114997e-012	6.6.2013 19:35:00	9,326	2,187669e-010	6.6.2013 19:35:00	9,865	1,834198e-011	6.6.2013 19:35:01	10,403	5,919397e-012	
6.6.2013 19:35:02	10,943	2,467758e-011	6.6.2013 19:35:02	11,482	1,119699e-012	6.6.2013 19:35:03	12,022	2,190823e-010	6.6.2013 19:35:03	12,560	1,843918e-011	6.6.2013 19:35:04	13,099	5,923435e-012	
6.6.2013 19:35:04	13,638	2,474136e-011	6.6.2013 19:35:05	14,178	1,129287e-012	6.6.2013 19:35:05	14,717	2,190489e-010	6.6.2013 19:35:06	15,257	1,841888e-011	6.6.2013 19:35:06	15,797	5,938014e-012	
6.6.2013 19:35:07	16,336	2,473184e-011	6.6.2013 19:35:07	16,877	1,135006e-012	6.6.2013 19:35:08	17,415	2,190016e-010	6.6.2013 19:35:09	17,954	1,839864e-011	6.6.2013 19:35:09	18,492	5,940060e-012	
6.6.2013 19:35:10	19,032	2,479026e-011	6.6.2013 19:35:10	19,573	1,131620e-012	6.6.2013 19:35:11	20,111	2,185023e-010	6.6.2013 19:35:11	20,651	1,838604e-011	6.6.2013 19:35:12	21,190	5,932941e-012	
6.6.2013 19:35:12	21,729	2,478151e-011	6.6.2013 19:35:13	22,267	1,135487e-012	6.6.2013 19:35:13	22,807	2,198538e-010	6.6.2013 19:35:14	23,344	1,843261e-011	6.6.2013 19:35:14	23,884	5,930476e-012	
6.6.2013 19:35:15	24,424	2,482994e-011	6.6.2013 19:35:16	24,963	1,137692e-012	6.6.2013 19:35:16	25,502	2,193230e-010	6.6.2013 19:35:17	26,039	1,845096e-011	6.6.2013 19:35:17	26,579	5,942771e-012	
6.6.2013 19:35:18	27,118	2,479307e-011	6.6.2013 19:35:18	27,659	1,137409e-012	6.6.2013 19:35:19	28,197	2,193642e-010	6.6.2013 19:35:19	28,737	1,842580e-011	6.6.2013 19:35:20	29,276	5,933657e-012	
6.6.2013 19:35:20	29,815	2,492852e-011	6.6.2013 19:35:21	30,355	1,132116e-012	6.6.2013 19:35:21	30,894	2,190486e-010	6.6.2013 19:35:22	31,433	1,844808e-011	6.6.2013 19:35:23	31,971	5,932780e-012	
6.6.2013 19:35:23	32,512	2,488594e-011	6.6.2013 19:35:24	33,050	1,133012e-012	6.6.2013 19:35:24	33,590	2,200769e-010	6.6.2013 19:35:25	34,128	1,843865e-011	6.6.2013 19:35:25	34,669	5,928384e-012	
6.6.2013 19:35:26	35,207	2,484376e-011	6.6.2013 19:35:26	35,748	1,136552e-012	6.6.2013 19:35:27	36,285	2,194951e-010	6.6.2013 19:35:27	36,826	1,845086e-011	6.6.2013 19:35:28	37,366	5,937146e-012	
6.6.2013 19:35:28	37,905	2,476743e-011	6.6.2013 19:35:29	38,447	1,132272e-012	6.6.2013 19:35:30	38,985	2,193220e-010	6.6.2013 19:35:30	39,524	1,843127e-011	6.6.2013 19:35:31	40,063	5,937982e-012	
6.6.2013 19:35:31	40,601	2,489318e-011	6.6.2013 19:35:32	41,140	1,135399e-012	6.6.2013 19:35:32	41,681	2,187178e-010	6.6.2013 19:35:33	42,219	1,842577e-011	6.6.2013 19:35:33	42,758	5,929215e-012	
6.6.2013 19:35:34	43,298	2,482978e-011	6.6.2013 19:35:34	43,836	1,132907e-012	6.6.2013 19:35:35	44,376	2,198333e-010	6.6.2013 19:35:35	44,913	1,841366e-011	6.6.2013 19:35:36	45,453	5,934856e-012	
6.6.2013 19:35:37	45,990	2,479700e-011	6.6.2013 19:35:37	46,530	1,131164e-012	6.6.2013 19:35:38	47,068	2,194555e-010	6.6.2013 19:35:38	47,609	1,845032e-011	6.6.2013 19:35:39	48,146	5,933551e-012	
6.6.2013 19:35:39	48,684	2,475140e-011	6.6.2013 19:35:40	49,224	1,132981e-012	6.6.2013 19:35:40	49,762	2,192650e-010	6.6.2013 19:35:41	50,304	1,842132e-011	6.6.2013 19:35:41	50,841	5,932488e-012	
6.6.2013 19:35:42	51,381	2,482459e-011	6.6.2013 19:35:43	51,919	1,130495e-012	6.6.2013 19:35:43	52,459	2,186104e-010	6.6.2013 19:35:44	52,996	1,842354e-011	6.6.2013 19:35:44	53,537	5,927839e-012	
6.6.2013 19:35:45	54,074	2,477897e-011	6.6.2013 19:35:45	54,615	1,129765e-012	6.6.2013 19:35:46	55,154	2,197418e-010	6.6.2013 19:35:46	55,694	1,842000e-011	6.6.2013 19:35:47	56,233	5,933068e-012	
6.6.2013 19:35:47	56,771	2,480522e-011	6.6.2013 19:35:48	57,312	1,128815e-012	6.6.2013 19:35:48	57,849	2,193264e-010	6.6.2013 19:35:49	58,390	1,843703e-011	6.6.2013 19:35:50	58,928	5,933711e-012	
6.6.2013 19:35:50	59,468	2,468154e-011	6.6.2013 19:35:51	60,007	1,133679e-012	6.6.2013 19:35:51	60,547	2,183796e-010	6.6.2013 19:35:52	61,086	1,837395e-011	6.6.2013 19:35:52	61,626	5,933777e-012	
6.6.2013 19:35:53	62,164	2,475000e-011	6.6.2013 19:35:53	62,703	1,132610e-012	6.6.2013 19:35:54	63,245	2,183842e-010	6.6.2013 19:35:54	63,784	1,839703e-011	6.6.2013 19:35:55	64,325	5,937726e-012	
6.6.2013 19:35:55	64,863	2,479590e-011	6.6.2013 19:35:56	65,404	1,131999e-012	6.6.2013 19:35:57	65,942	2,194680e-010	6.6.2013 19:35:57	66,480	1,842742e-011	6.6.2013 19:35:58	67,018	5,929644e-012	
6.6.2013 19:35:58	67,557	2,477293e-011	6.6.2013 19:35:59	68,096	1,130219e-012	6.6.2013 19:35:59	68,634	2,189922e-010	6.6.2013 19:36:00	69,172	1,841470e-011	6.6.2013 19:36:00	69,711	5,938589e-012	
6.6.2013 19:36:01	70,251	2,475377e-011	6.6.2013 19:36:01	70,789	1,130709e-012	6.6.2013 19:36:02	71,328	2,190481e-010	6.6.2013 19:36:02	71,866	1,841051e-011	6.6.2013 19:36:03	72,406	5,930995e-012	
6.6.2013 19:36:04	72,945	2,484550e-011	6.6.2013 19:36:04	73,485	1,130249e-012	6.6.2013 19:36:05	74,024	2,185857e-010	6.6.2013 19:36:05	74,562	1,838304e-011	6.6.2013 19:36:06	75,102	5,929627e-012	
6.6.2013 19:36:06	75,640	2,478761e-011	6.6.2013 19:36:07	76,181	1,128468e-012	6.6.2013 19:36:07	76,719	2,193263e-010	6.6.2013 19:36:08	77,259	1,843087e-011	6.6.2013 19:36:08	77,798	5,927770e-012	
6.6.2013 19:36:09	78,339	2,476390e-011	6.6.2013 19:36:09	78,878	1,130493e-012	6.6.2013 19:36:10	79,419	2,191219e-010	6.6.2013 19:36:11	79,960	1,842214e-011	6.6.2013 19:36:11	80,500	5,934356e-012	
