Sourcefile	20130612 104252 Tomas CO2+ethylene_faraday.qmp
Exporttime	12.6.2013 22:11:26

Start Time	12.6.2013 10:43:06,172
End Time  	12.6.2013 22:00:25,088

		14			26			32			40			44	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	
12.6.2013 10:43:06	0,000	1,981889e-011	12.6.2013 10:43:06	0,587	8,852551e-013	12.6.2013 10:43:07	1,154	1,721548e-010	12.6.2013 10:43:07	1,723	1,567687e-011	12.6.2013 10:43:08	2,292	7,926753e-012	
12.6.2013 10:43:09	2,830	1,986481e-011	12.6.2013 10:43:09	3,368	8,399145e-013	12.6.2013 10:43:10	3,907	1,734047e-010	12.6.2013 10:43:10	4,444	1,580943e-011	12.6.2013 10:43:11	4,989	7,834281e-012	
12.6.2013 10:43:11	5,526	2,003253e-011	12.6.2013 10:43:12	6,066	8,383561e-013	12.6.2013 10:43:12	6,603	1,738002e-010	12.6.2013 10:43:13	7,140	1,583466e-011	12.6.2013 10:43:13	7,677	7,865113e-012	
12.6.2013 10:43:14	8,216	2,007820e-011	12.6.2013 10:43:14	8,754	8,454261e-013	12.6.2013 10:43:15	9,294	1,735434e-010	12.6.2013 10:43:16	9,831	1,583876e-011	12.6.2013 10:43:16	10,368	7,885984e-012	
12.6.2013 10:43:17	10,906	2,001376e-011	12.6.2013 10:43:17	11,444	8,589961e-013	12.6.2013 10:43:18	11,983	1,741900e-010	12.6.2013 10:43:18	12,523	1,591100e-011	12.6.2013 10:43:19	13,063	7,906727e-012	
12.6.2013 10:43:19	13,601	2,013954e-011	12.6.2013 10:43:20	14,141	8,676259e-013	12.6.2013 10:43:20	14,679	1,745208e-010	12.6.2013 10:43:21	15,218	1,594217e-011	12.6.2013 10:43:21	15,757	7,909512e-012	
12.6.2013 10:43:22	16,295	2,005985e-011	12.6.2013 10:43:23	16,836	8,764674e-013	12.6.2013 10:43:23	17,373	1,736480e-010	12.6.2013 10:43:24	17,910	1,588491e-011	12.6.2013 10:43:24	18,446	7,910167e-012	
12.6.2013 10:43:25	18,984	2,013652e-011	12.6.2013 10:43:25	19,522	8,751837e-013	12.6.2013 10:43:26	20,061	1,742949e-010	12.6.2013 10:43:26	20,598	1,592843e-011	12.6.2013 10:43:27	21,136	7,909630e-012	
12.6.2013 10:43:27	21,674	2,016043e-011	12.6.2013 10:43:28	22,212	8,733619e-013	12.6.2013 10:43:28	22,750	1,745651e-010	12.6.2013 10:43:29	23,288	1,588856e-011	12.6.2013 10:43:29	23,826	7,906238e-012	
12.6.2013 10:43:30	24,363	2,005811e-011	12.6.2013 10:43:31	24,903	8,717882e-013	12.6.2013 10:43:31	25,440	1,741094e-010	12.6.2013 10:43:32	25,978	1,592453e-011	12.6.2013 10:43:32	26,516	7,910257e-012	
12.6.2013 10:43:33	27,055	2,014650e-011	12.6.2013 10:43:33	27,596	8,711302e-013	12.6.2013 10:43:34	28,135	1,743624e-010	12.6.2013 10:43:34	28,672	1,593493e-011	12.6.2013 10:43:35	29,210	7,899187e-012	
12.6.2013 10:43:35	29,749	2,023910e-011	12.6.2013 10:43:36	30,287	8,722338e-013	12.6.2013 10:43:36	30,825	1,748983e-010	12.6.2013 10:43:37	31,362	1,593795e-011	12.6.2013 10:43:38	31,903	7,912103e-012	
12.6.2013 10:43:38	32,441	2,009837e-011	12.6.2013 10:43:39	32,983	8,719770e-013	12.6.2013 10:43:39	33,521	1,736393e-010	12.6.2013 10:43:40	34,059	1,588699e-011	12.6.2013 10:43:40	34,597	7,901051e-012	
12.6.2013 10:43:41	35,134	2,013087e-011	12.6.2013 10:43:41	35,673	8,718962e-013	12.6.2013 10:43:42	36,210	1,742458e-010	12.6.2013 10:43:42	36,749	1,592812e-011	12.6.2013 10:43:43	37,287	7,906779e-012	
12.6.2013 10:43:43	37,825	2,015694e-011	12.6.2013 10:43:44	38,363	8,717175e-013	12.6.2013 10:43:45	38,904	1,746579e-010	12.6.2013 10:43:45	39,442	1,593719e-011	12.6.2013 10:43:46	39,983	7,903132e-012	
12.6.2013 10:43:46	40,521	2,006532e-011	12.6.2013 10:43:47	41,062	8,693900e-013	12.6.2013 10:43:47	41,601	1,736298e-010	12.6.2013 10:43:48	42,141	1,590224e-011	12.6.2013 10:43:48	42,678	7,903294e-012	
12.6.2013 10:43:49	43,216	2,015908e-011	12.6.2013 10:43:49	43,756	8,734822e-013	12.6.2013 10:43:50	44,293	1,743515e-010	12.6.2013 10:43:51	44,831	1,592982e-011	12.6.2013 10:43:51	45,368	7,905564e-012	
12.6.2013 10:43:52	45,907	2,018004e-011	12.6.2013 10:43:52	46,445	8,694728e-013	12.6.2013 10:43:53	46,981	1,737243e-010	12.6.2013 10:43:53	47,518	1,588661e-011	12.6.2013 10:43:54	48,056	7,893650e-012	
12.6.2013 10:43:54	48,594	2,004971e-011	12.6.2013 10:43:55	49,134	8,715229e-013	12.6.2013 10:43:55	49,673	1,742294e-010	12.6.2013 10:43:56	50,210	1,592739e-011	12.6.2013 10:43:56	50,749	7,897756e-012	
