ASCII SAMPLE CYCLES :			synecho6803_brd_temp36-31-36_whitel300.mdc
DATE :	26.11.2025	TIME :	11:33:31 odp.
CONVERTED CYCLES :			5261
Number of stored cycles			5261
Printed start cycle			1
Printed end cycle			5261
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	17.94	min:	9.22911E-010	max:	1.67387E-009	
'0/1'	27.75	min:	4.27391E-008	max:	4.4986E-008	
'0/2'	31.72	min:	1.83275E-008	max:	1.94882E-008	
'0/3'	35.87	min:	8.61726E-008	max:	8.69342E-008	
'0/4'	40.03	min:	3.46578E-008	max:	3.51229E-008	
'0/5'	43.72	min:	1.64506E-009	max:	1.67387E-009	
Datablock 1	PKR	[mbar]	
'1/0'	PKR	min:	1.744E-007	max:	2.362E-007	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'1/0'	
1	26.11.2025	11:33:31:00 odp.	0	1.83406E-007	4.27391E-008	1.83275E-008	8.61726E-008	3.46578E-008	1.64506E-009	2.289E-007	
2	26.11.2025	11:33:32:63 odp.	1.639	1.83255E-007	4.2949E-008	1.84071E-008	8.63711E-008	3.47848E-008	1.65286E-009	2.278E-007	
3	26.11.2025	11:33:34:28 odp.	3.282	1.83123E-007	4.31021E-008	1.8518E-008	8.65518E-008	3.48824E-008	1.65263E-009	2.314E-007	
4	26.11.2025	11:33:35:92 odp.	4.922	1.82927E-007	4.32806E-008	1.85849E-008	8.666E-008	3.48849E-008	1.65092E-009	2.287E-007	
5	26.11.2025	11:33:37:56 odp.	6.562	1.82951E-007	4.33301E-008	1.86608E-008	8.66882E-008	3.49447E-008	1.64823E-009	2.278E-007	
6	26.11.2025	11:33:39:20 odp.	8.202	1.8289E-007	4.35716E-008	1.8733E-008	8.6774E-008	3.49838E-008	1.65263E-009	2.3E-007	
7	26.11.2025	11:33:40:84 odp.	9.846	1.82809E-007	4.36876E-008	1.88004E-008	8.68583E-008	3.50326E-008	1.65763E-009	2.276E-007	
8	26.11.2025	11:33:42:48 odp.	11.484	1.82902E-007	4.38084E-008	1.88953E-008	8.69093E-008	3.50826E-008	1.6602E-009	2.276E-007	
9	26.11.2025	11:33:44:12 odp.	13.125	1.82805E-007	4.39781E-008	1.89423E-008	8.69342E-008	3.50594E-008	1.6558E-009	2.3E-007	
10	26.11.2025	11:33:45:76 odp.	14.763	1.82894E-007	4.4044E-008	1.89926E-008	8.68822E-008	3.51034E-008	1.65788E-009	2.297E-007	
11	26.11.2025	11:33:47:40 odp.	16.403	1.82714E-007	4.42149E-008	1.90634E-008	8.68383E-008	3.51229E-008	1.66178E-009	2.3E-007	
12	26.11.2025	11:33:48:95 odp.	17.957	1.82719E-007	4.4359E-008	1.91423E-008	8.67811E-008	3.50668E-008	1.65824E-009	2.3E-007	
13	26.11.2025	11:33:50:68 odp.	19.684	1.82793E-007	4.44203E-008	1.92175E-008	8.66507E-008	3.50021E-008	1.66715E-009	2.325E-007	
14	26.11.2025	11:33:52:32 odp.	21.323	1.82146E-007	4.44115E-008	1.91938E-008	8.65023E-008	3.49832E-008	1.67265E-009	2.311E-007	
15	26.11.2025	11:33:53:96 odp.	22.962	1.82206E-007	4.45091E-008	1.92596E-008	8.64215E-008	3.50061E-008	1.65959E-009	2.303E-007	
16	26.11.2025	11:33:55:60 odp.	24.602	1.82072E-007	4.46788E-008	1.93317E-008	8.64619E-008	3.49716E-008	1.66581E-009	2.317E-007	
17	26.11.2025	11:33:57:24 odp.	26.245	1.81965E-007	4.4805E-008	1.94093E-008	8.64875E-008	3.50363E-008	1.67008E-009	2.331E-007	
18	26.11.2025	11:33:58:88 odp.	27.886	1.81651E-007	4.4986E-008	1.94882E-008	8.655E-008	3.50558E-008	1.67387E-009	2.317E-007	
19	26.11.2025	11:34:00:53 odp.	29.53	1.81434E-007	4.5172E-008	1.95559E-008	8.66132E-008	3.50851E-008	1.67448E-009	2.317E-007	
20	26.11.2025	11:34:02:17 odp.	31.17	1.81216E-007	4.52916E-008	1.9625E-008	8.65646E-008	3.51217E-008	1.67753E-009	2.297E-007	
21	26.11.2025	11:34:03:81 odp.	32.812	1.81132E-007	4.5393E-008	1.9703E-008	8.65762E-008	3.50973E-008	1.67826E-009	2.314E-007	
22	26.11.2025	11:34:05:45 odp.	34.453	1.81146E-007	4.55675E-008	1.97661E-008	8.65166E-008	3.5101E-008	1.67704E-009	2.306E-007	
