Sourcefile	20131107 111108 Tomas CO2+ethylene_faraday.qmp
Exporttime	7.11.2013 14:12:07

Start Time	7.11.2013 11:12:45,713
End Time  	7.11.2013 14:12:07,159

		14			26			32			40			44			18			TP86	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
7.11.2013 11:12:45	0,000	7,001410e-012	7.11.2013 11:12:46	0,592	-1,157145e-013	7.11.2013 11:12:46	1,159	3,697437e-011	7.11.2013 11:12:47	1,747	3,473261e-012	7.11.2013 11:12:48	2,337	1,187221e-012	7.11.2013 11:13:19	33,681	3,794470e-011	7.11.2013 11:13:19	33,612	2,055813e-006	
7.11.2013 11:13:16	31,188	6,993738e-012	7.11.2013 11:13:17	31,778	-1,149646e-013	7.11.2013 11:13:18	32,345	3,706993e-011	7.11.2013 11:13:18	32,935	3,478730e-012	7.11.2013 11:13:19	33,524	1,083908e-012	7.11.2013 11:13:22	36,515	3,771447e-011	7.11.2013 11:13:22	36,454	2,055813e-006	
7.11.2013 11:13:19	34,220	7,067020e-012	7.11.2013 11:13:20	34,757	-1,343450e-013	7.11.2013 11:13:21	35,296	3,693955e-011	7.11.2013 11:13:21	35,833	3,457941e-012	7.11.2013 11:13:22	36,371	1,053659e-012	7.11.2013 11:13:25	39,346	3,773146e-011	7.11.2013 11:13:24	39,285	2,046201e-006	
7.11.2013 11:13:22	37,052	7,021896e-012	7.11.2013 11:13:23	37,591	-1,213796e-013	7.11.2013 11:13:23	38,127	3,709290e-011	7.11.2013 11:13:24	38,664	3,502601e-012	7.11.2013 11:13:24	39,202	1,108509e-012	7.11.2013 11:13:27	42,184	3,758368e-011	7.11.2013 11:13:27	42,123	2,055813e-006	
7.11.2013 11:13:25	39,885	7,074385e-012	7.11.2013 11:13:26	40,423	-7,974426e-014	7.11.2013 11:13:26	40,960	3,707588e-011	7.11.2013 11:13:27	41,499	3,522434e-012	7.11.2013 11:13:27	42,037	1,124610e-012	7.11.2013 11:13:30	45,019	3,743441e-011	7.11.2013 11:13:30	44,957	2,046201e-006	
7.11.2013 11:13:28	42,720	7,097497e-012	7.11.2013 11:13:28	43,260	-7,867661e-014	7.11.2013 11:13:29	43,797	3,704079e-011	7.11.2013 11:13:30	44,336	3,531839e-012	7.11.2013 11:13:30	44,876	1,129606e-012	7.11.2013 11:13:33	47,862	3,730873e-011	7.11.2013 11:13:33	47,801	2,046201e-006	
7.11.2013 11:13:31	45,557	7,074100e-012	7.11.2013 11:13:31	46,095	-7,090739e-014	7.11.2013 11:13:32	46,634	3,714063e-011	7.11.2013 11:13:32	47,171	3,525933e-012	7.11.2013 11:13:33	47,710	1,125348e-012	7.11.2013 11:13:36	50,697	3,721544e-011	7.11.2013 11:13:36	50,635	2,046201e-006	
7.11.2013 11:13:34	48,399	7,091530e-012	7.11.2013 11:13:34	48,938	-7,215544e-014	7.11.2013 11:13:35	49,476	3,703726e-011	7.11.2013 11:13:35	50,014	3,522757e-012	7.11.2013 11:13:36	50,553	1,118327e-012	7.11.2013 11:13:39	53,532	3,704673e-011	7.11.2013 11:13:39	53,472	2,046201e-006	
7.11.2013 11:13:36	51,234	7,102306e-012	7.11.2013 11:13:37	51,772	-7,804788e-014	7.11.2013 11:13:38	52,310	3,706834e-011	7.11.2013 11:13:38	52,848	3,531470e-012	7.11.2013 11:13:39	53,386	1,120704e-012	7.11.2013 11:13:42	56,368	3,676257e-011	7.11.2013 11:13:42	56,306	2,046201e-006	
