0000004391,scans,0000000078,DataLength
"header",0000000023,"lines"
"Date",11/19/2024,"Time",10:00:58 AM
"ID","HAL RC RGA 201 #15522","Version",3
"Scans",4
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",14.00,14.00,0.01,100.000%,100.000%,0.623000,1.000000,
"Scan 2","RGA","Faraday","mass",31.50,31.50,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 3","RGA","Faraday","mass",39.50,39.50,0.01,100.000%,100.000%,1.200000,1.000000,
"Scan 4","RGA","Faraday","mass",43.50,43.50,0.01,100.000%,100.000%,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",-100,"%"
"electron-energy",70.0,"V"
"emission",250.000,"uA"
"focus",-90,"V"
"mass",31.99,"amu"
"mode-change-delay",1000,"ms"
"multiplier",975,"V"
"resolution",0,"%"
"Data",4
"Time","ms","Nitrogen","Oxygen","Argon","Carbon dioxide",
00:00:01,      1532,  6.21186e-08,  2.34999e-07,  2.14999e-08,  8.29279e-08,
00:00:01,      1785,  7.44215e-08,  2.25774e-07,  1.23177e-08,  7.96650e-08,
00:00:05,      5158,  5.83225e-08,  2.13624e-07,  1.10187e-08,  7.77836e-08,
00:00:06,      6690,  5.71395e-08,  2.10874e-07,  1.14464e-08,  7.83979e-08,
00:00:08,      8972,  5.47421e-08,  2.07249e-07,  1.12683e-08,  7.87050e-08,
00:00:11,     11254,  5.27254e-08,  2.03749e-07,  1.11586e-08,  7.90121e-08,
00:00:13,     13537,  5.15897e-08,  2.00374e-07,  1.10053e-08,  7.97800e-08,
00:00:15,     15819,  4.86283e-08,  1.92749e-07,  1.07673e-08,  8.00871e-08,
00:00:18,     18100,  4.66063e-08,  1.88124e-07,  1.05970e-08,  8.01636e-08,
00:00:20,     20383,  4.45454e-08,  1.84499e-07,  1.04291e-08,  7.93957e-08,
00:00:22,     22665,  4.27045e-08,  1.81499e-07,  1.02483e-08,  7.83207e-08,
00:00:24,     24947,  4.08396e-08,  1.78749e-07,  1.00882e-08,  7.71693e-08,
00:00:27,     27229,  3.93417e-08,  1.75749e-07,  9.97167e-09,  7.64014e-08,
00:00:29,     29512,  3.83130e-08,  1.74499e-07,  9.97167e-09,  7.55564e-08,
